timestep,avg_reward,avg_length,success_rate
1000,5.050213,350.0,0.0
2000,-4.939903,350.0,0.0
3000,5.0876064,350.0,0.0
4000,-4.0181026,350.0,0.0
5000,-9.22137,350.0,0.0
6000,-6.6940713,350.0,0.0
7000,0.08005877,350.0,5.0
8000,-1.7408541,350.0,4.545454545454546
9000,1.0840734,350.0,4.0
10000,3.303656,350.0,3.571428571428571
11000,3.4775128,350.0,3.225806451612903
12000,5.0942287,350.0,2.941176470588235
13000,3.7406542,350.0,2.7027027027027026
14000,5.095113,350.0,2.5
15000,3.9024892,350.0,2.380952380952381
16000,2.8689895,350.0,2.2222222222222223
17000,7.183428,350.0,4.166666666666666
18000,8.043234,350.0,3.9215686274509802
19000,11.588979,350.0,3.7037037037037033
20000,14.763265,350.0,3.508771929824561
21000,14.280099,350.0,3.3333333333333335
22000,13.983967,350.0,3.225806451612903
23000,16.655483,350.0,3.076923076923077
24000,16.14569,350.0,2.941176470588235
25000,14.267704,350.0,2.8169014084507045
26000,13.896042,350.0,2.7027027027027026
27000,16.963741,349.7012987012987,3.896103896103896
28000,19.64886,349.7125,5.0
29000,19.294014,349.719512195122,4.878048780487805
30000,19.382458,349.7294117647059,4.705882352941177
31000,24.712446,347.40449438202245,6.741573033707865
32000,26.794643,347.4891304347826,7.608695652173914
33000,25.800077,347.5425531914894,7.446808510638298
34000,24.64338,347.6185567010309,7.216494845360824
35000,24.558079,347.69,7.000000000000001
36000,25.060076,347.69,7.000000000000001
37000,24.559076,347.69,7.000000000000001
38000,26.563084,347.69,7.000000000000001
39000,28.567083,347.69,7.000000000000001
40000,31.072075,347.69,8.0
41000,33.074093,347.69,8.0
42000,33.075085,347.69,7.000000000000001
43000,34.07709,347.69,7.000000000000001
44000,34.077084,347.69,7.000000000000001
45000,33.576088,347.69,7.000000000000001
46000,34.578087,347.69,7.000000000000001
47000,35.07809,347.69,7.000000000000001
48000,35.57909,347.69,7.000000000000001
49000,37.271088,346.78,8.0
50000,39.27509,346.78,8.0
51000,39.77609,346.78,8.0
52000,40.277096,346.78,7.000000000000001
53000,43.014095,346.4,9.0
54000,42.73209,345.19,10.0
55000,42.231094,345.19,10.0
56000,43.2331,345.19,10.0
57000,41.229095,345.19,10.0
58000,42.986088,343.64,11.0
59000,43.988094,343.64,11.0
60000,43.48709,343.64,11.0
61000,42.86509,343.87,10.0
62000,43.15908,341.91,11.0
63000,42.15709,341.91,10.0
64000,43.159096,341.91,10.0
65000,40.655117,341.91,9.0
66000,38.84612,343.99,8.0
67000,38.346123,343.99,7.000000000000001
68000,41.063126,342.85,8.0
69000,43.76913,341.82,9.0
70000,45.434128,341.18,10.0
71000,48.112125,340.43,11.0
72000,47.11011,340.43,11.0
73000,47.61113,340.43,11.0
74000,47.110138,340.43,10.0
75000,45.60913,340.43,11.0
76000,45.60915,340.43,11.0
77000,48.83215,339.24,12.0
78000,52.01915,338.41,14.000000000000002
79000,50.516144,338.41,14.000000000000002
80000,52.019146,338.41,14.000000000000002
81000,52.020138,338.41,14.000000000000002
82000,51.519142,338.41,14.000000000000002
83000,51.32915,339.32,14.000000000000002
84000,50.828156,339.32,14.000000000000002
85000,50.828163,339.32,14.000000000000002
86000,50.82817,339.32,14.000000000000002
87000,47.08917,339.7,12.0
88000,45.368176,340.91,11.0
89000,45.368168,340.91,11.0
90000,43.865166,340.91,11.0
91000,45.368176,340.91,11.0
92000,48.381187,340.83,11.0
93000,49.38318,340.83,11.0
94000,54.24419,339.27,13.0
95000,55.454174,338.17,14.000000000000002
96000,56.326183,339.48,14.000000000000002
97000,57.32819,339.48,14.000000000000002
98000,56.326176,339.48,14.000000000000002
99000,55.825176,339.48,14.000000000000002
100000,53.82117,339.48,14.000000000000002
101000,53.821163,339.48,14.000000000000002
102000,51.10416,340.62,13.0
103000,47.396164,341.65,12.0
104000,45.731163,342.29,11.0
105000,42.55217,343.04,10.0
106000,41.55016,343.04,10.0
107000,42.05115,343.04,10.0
108000,41.55015,343.04,10.0
109000,40.54815,343.04,9.0
110000,41.549145,343.04,9.0
111000,39.32816,344.23,8.0
112000,37.14216,345.06,6.0
113000,40.90415,343.48,7.000000000000001
114000,42.56614,342.87,8.0
115000,42.565132,342.87,8.0
116000,43.567135,342.87,8.0
117000,45.32514,341.3,8.0
118000,48.13613,339.21,9.0
119000,47.134132,339.21,9.0
120000,47.134125,339.21,9.0
121000,46.63313,339.21,9.0
122000,48.63713,339.21,9.0
123000,48.136127,339.21,9.0
124000,50.85413,338.06,10.0
125000,49.852123,338.06,10.0
126000,45.08312,339.69,9.0
127000,47.80812,338.47,11.0
128000,45.45213,340.03,9.0
129000,43.74114,341.13,8.0
130000,41.574146,341.78,7.000000000000001
131000,43.264145,340.89,8.0
132000,45.975147,339.81,9.0
133000,45.974136,339.81,9.0
134000,46.976147,339.81,9.0
135000,46.47515,339.81,9.0
136000,47.477158,339.81,9.0
137000,48.47916,339.81,9.0
138000,48.479164,339.81,9.0
139000,49.982162,339.81,9.0
140000,51.485157,339.81,9.0
141000,49.981167,339.81,9.0
142000,49.48016,339.81,9.0
143000,49.480167,339.81,9.0
144000,49.982162,339.81,11.0
145000,48.980156,339.81,11.0
146000,47.478153,339.81,11.0
147000,43.716156,341.39,10.0
148000,43.055176,342.0,9.0
149000,41.553177,342.0,9.0
150000,43.17917,341.75,10.0
151000,45.182163,341.75,11.0
152000,42.924164,343.32,10.0
153000,42.117165,345.41,10.0
154000,41.115143,345.41,10.0
155000,43.119137,345.41,11.0
156000,42.117123,345.41,11.0
157000,42.617104,345.41,12.0
158000,41.90212,346.56,11.0
159000,42.903114,346.56,11.0
160000,43.905106,346.56,12.0
161000,43.905117,346.56,12.0
162000,42.1801,347.78,11.0
163000,40.176083,347.78,11.0
164000,41.17809,347.78,11.0
165000,41.67908,347.78,11.0
166000,39.989086,348.67,10.0
167000,38.280094,349.75,9.0
168000,39.784096,349.75,9.0
169000,40.2851,349.75,9.0
170000,41.286102,349.75,9.0
171000,44.925083,349.41,10.0
172000,45.42609,349.41,10.0
173000,46.4271,349.41,10.0
174000,47.429108,349.41,10.0
175000,47.42911,349.41,10.0
176000,49.6581,348.15,11.0
177000,51.16111,348.15,11.0
178000,52.162113,348.15,11.0
179000,51.661118,348.15,10.0
180000,51.661118,348.15,10.0
181000,54.80212,347.77,11.0
182000,58.50211,346.82,12.0
183000,58.503105,346.82,12.0
184000,63.843117,345.48,14.000000000000002
185000,59.7131,345.73,12.0
186000,59.713104,345.73,12.0
187000,60.508125,343.77,12.0
188000,62.683117,343.04,13.0
189000,62.871147,342.14,13.0
190000,65.49315,341.95,15.0
191000,63.490166,341.95,14.000000000000002
192000,62.489166,341.95,15.0
193000,63.15616,341.28,16.0
194000,63.156162,341.28,15.0
195000,65.16016,341.28,15.0
196000,62.657177,341.28,14.000000000000002
197000,61.65517,341.28,14.000000000000002
198000,61.655174,341.28,14.000000000000002
199000,59.651176,341.28,14.000000000000002
200000,60.15117,341.28,14.000000000000002
201000,59.149166,341.28,14.000000000000002
202000,58.14715,341.28,14.000000000000002
203000,57.64615,341.28,14.000000000000002
204000,58.148144,341.28,14.000000000000002
205000,54.50916,341.62,13.0
206000,55.010166,341.62,14.000000000000002
207000,54.009155,341.62,14.000000000000002
208000,51.504147,341.62,14.000000000000002
209000,51.504135,341.62,14.000000000000002
210000,54.62114,341.49,15.0
211000,53.11813,341.49,15.0
212000,52.61812,341.49,14.000000000000002
213000,52.618107,341.49,15.0
214000,55.241108,341.28,16.0
215000,54.104115,341.66,15.0
216000,52.601112,341.66,16.0
217000,50.90513,342.61,15.0
218000,46.066124,343.95,13.0
219000,48.822132,342.4,14.000000000000002
220000,51.474136,341.91,15.0
221000,49.176136,343.87,14.000000000000002
222000,51.18014,343.87,14.000000000000002
223000,47.314144,345.5,12.0
224000,45.31013,345.5,11.0
225000,43.690132,345.69,11.0
226000,46.849133,345.14,12.0
227000,47.55714,343.06,11.0
228000,49.560135,343.06,11.0
229000,48.056133,343.06,11.0
230000,49.058136,343.06,11.0
231000,48.557133,343.06,11.0
232000,51.061123,343.06,12.0
233000,52.06313,343.06,12.0
234000,51.56313,343.06,12.0
