timestep,avg_reward,avg_length,success_rate
1000,46.266567,300.0,0.0
2000,48.833256,300.0,0.0
3000,60.739887,300.0,0.0
4000,58.892216,300.0,0.0
5000,61.299873,300.0,0.0
6000,63.154896,299.15,5.0
7000,56.291218,299.2608695652174,4.3478260869565215
8000,55.38067,299.34615384615387,3.8461538461538463
9000,51.71656,299.43333333333334,3.3333333333333335
10000,51.851406,299.4848484848485,3.0303030303030303
11000,47.06378,299.52777777777777,2.7777777777777777
12000,62.474895,294.95,10.0
13000,65.80218,293.8863636363636,11.363636363636363
14000,64.82755,294.27659574468083,10.638297872340425
15000,63.873886,294.62,10.0
16000,64.39433,293.8703703703704,11.11111111111111
17000,63.496372,294.1929824561403,10.526315789473683
18000,63.585125,294.57377049180326,9.836065573770492
19000,68.81373,290.0153846153846,12.307692307692308
20000,67.98665,290.45588235294116,11.76470588235294
21000,72.251274,289.875,12.5
22000,76.699875,289.3157894736842,14.473684210526317
23000,74.9619,289.72151898734177,13.924050632911392
24000,78.415535,287.0,14.457831325301203
25000,78.0801,287.45348837209303,13.953488372093023
26000,76.95209,288.0111111111111,13.333333333333334
27000,80.982834,286.72340425531917,14.893617021276595
28000,81.18954,287.1340206185567,14.432989690721648
29000,82.086845,286.01,15.0
30000,86.893845,283.16,17.0
31000,88.26284,281.43,18.0
32000,97.38284,274.69,23.0
33000,96.626854,274.69,23.0
34000,98.97085,274.47,23.0
35000,100.67082,274.47,23.0
36000,102.43283,272.23,24.0
37000,100.652824,272.23,24.0
38000,100.59683,272.23,24.0
39000,96.98984,273.22,22.0
40000,91.30283,274.75,20.0
41000,94.19384,273.96,21.0
42000,93.56583,273.96,21.0
43000,93.58984,273.96,21.0
44000,94.147835,273.94,21.0
45000,94.23784,273.94,21.0
46000,97.40984,271.4,23.0
47000,94.564835,272.37,22.0
48000,88.85085,273.17,21.0
49000,88.30085,271.83,21.0
50000,89.78586,269.68,22.0
51000,87.89784,271.52,22.0
52000,88.52585,270.7,23.0
53000,89.40687,270.15,24.0
54000,84.64986,271.84,22.0
55000,81.939865,271.84,22.0
56000,82.55386,271.22,23.0
57000,80.96287,272.57,22.0
58000,80.97486,272.77,22.0
59000,76.857864,274.76,20.0
60000,70.76985,280.5,17.0
61000,71.83485,281.13,17.0
62000,69.65985,281.52,16.0
63000,74.31186,278.5,19.0
64000,74.957855,278.5,19.0
65000,79.77185,276.9,20.0
66000,82.23685,276.31,21.0
67000,87.57084,273.05,23.0
68000,88.63483,273.05,23.0
69000,88.09182,272.82,23.0
70000,91.81983,268.38,25.0
71000,91.82482,267.69,25.0
72000,93.01382,266.56,26.0
73000,91.627815,269.08,25.0
74000,89.19281,271.29,24.0
75000,95.557816,267.56,26.0
76000,96.27979,267.02,26.0
77000,95.7208,266.17,26.0
78000,96.995804,264.76,27.0
79000,101.10481,260.99,28.000000000000004
80000,103.667816,258.94,28.999999999999996
81000,110.77081,255.31,31.0
82000,108.29481,255.93,30.0
83000,109.534805,254.07,31.0
84000,107.77183,255.4,31.0
85000,110.1038,254.78,32.0
86000,113.39782,249.2,34.0
87000,111.53784,249.2,34.0
88000,108.248825,251.23,32.0
89000,107.133835,251.0,32.0
90000,105.86484,251.13,32.0
91000,104.86785,250.14,32.0
92000,102.04387,251.96,31.0
93000,100.85185,251.96,31.0
94000,98.90785,252.98,30.0
95000,100.23986,253.32,31.0
96000,97.71588,255.94,30.0
97000,101.659874,252.3,32.0
98000,100.58388,252.02,32.0
99000,103.725876,249.82,33.0
100000,101.90289,251.95,32.0
101000,97.735886,253.6,31.0
102000,97.3539,252.18,31.0
103000,94.40291,253.59,30.0
104000,93.33591,254.08,30.0
105000,91.404915,256.49,28.999999999999996
106000,91.270905,257.19,28.999999999999996
107000,91.72091,258.09,28.999999999999996
108000,97.8729,254.01,32.0
109000,97.6779,254.84,32.0
110000,100.54091,249.39,33.0
111000,98.01192,252.38,32.0
112000,99.30191,252.28,32.0
113000,96.7279,253.38,31.0
114000,96.353905,254.44,31.0
115000,98.2209,252.59,32.0
116000,106.6139,247.9,35.0
117000,110.68488,247.21,36.0
118000,114.70789,243.5,38.0
119000,120.23789,238.98,41.0
120000,118.61488,239.43,40.0
121000,117.68887,240.27,39.0
122000,117.209885,238.94,39.0
123000,119.50388,237.74,40.0
124000,120.00286,238.23,40.0
125000,123.39387,236.46,41.0
126000,119.31987,238.78,40.0
127000,121.69685,237.87,41.0
128000,120.046844,238.83,40.0
129000,118.19685,240.35,39.0
130000,117.71785,241.18,39.0
131000,116.63885,241.41,39.0
132000,114.36387,241.06,38.0
133000,112.06586,241.5,37.0
134000,112.80288,239.59,38.0
135000,107.91888,243.19,36.0
136000,107.561874,242.3,37.0
137000,110.58186,240.92,38.0
138000,108.441864,240.4,38.0
139000,103.75387,243.72,36.0
140000,101.46588,245.24,35.0
141000,97.19787,247.84,33.0
142000,94.64786,248.24,32.0
143000,93.14286,250.83,31.0
144000,86.68785,255.48,28.000000000000004
145000,87.331856,255.16,28.000000000000004
146000,90.402855,253.59,28.999999999999996
147000,86.081856,257.52,27.0
148000,89.07987,253.96,28.000000000000004
149000,88.14686,254.41,28.000000000000004
150000,85.77486,256.23,27.0
151000,80.936874,260.17,25.0
152000,87.078865,257.31,27.0
153000,89.09787,256.08,27.0
154000,87.11486,257.89,26.0
155000,88.502884,254.39,27.0
156000,88.02388,254.02,27.0
157000,88.894875,255.15,27.0
158000,86.39287,257.39,26.0
159000,84.591866,258.98,25.0
160000,82.68985,261.74,24.0
161000,83.82586,261.74,24.0
162000,82.91385,263.16,23.0
163000,81.13385,263.26,22.0
164000,78.13385,265.08,21.0
165000,80.293846,265.08,21.0
166000,79.95784,265.08,21.0
167000,82.97687,261.05,23.0
168000,83.63286,259.25,23.0
169000,83.68087,259.25,23.0
170000,82.50886,259.37,23.0
171000,83.011856,258.22,23.0
172000,83.76786,256.92,24.0
173000,82.623856,257.0,24.0
174000,82.34186,258.64,23.0
175000,76.90685,261.15,21.0
176000,78.64787,260.08,22.0
177000,82.28987,257.56,23.0
178000,77.76987,260.42,21.0
179000,78.94588,260.64,22.0
180000,83.25086,258.07,24.0
181000,81.29385,261.7,23.0
182000,78.33485,262.23,22.0
183000,75.966866,263.61,21.0
184000,77.83087,262.11,22.0
185000,80.654854,260.77,23.0
186000,83.67385,259.16,24.0
187000,86.503845,258.32,25.0
