timestep,avg_reward,avg_length,success_rate
1000,-5.4500513,250.0,0.0
2000,-3.5999868,250.0,0.0
3000,15.766608,250.0,0.0
4000,14.637436,250.0,0.0
5000,16.419949,250.0,0.0
6000,17.783274,250.0,0.0
7000,21.75708,250.0,0.0
8000,16.53745,250.0,0.0
9000,20.69439,250.0,0.0
10000,21.339945,250.0,0.0
11000,24.440845,250.0,0.0
12000,24.429102,250.0,0.0
13000,24.196089,250.0,0.0
14000,24.464231,250.0,0.0
15000,26.906614,250.0,0.0
16000,26.246826,250.0,0.0
17000,27.447008,250.0,0.0
18000,30.277733,247.55555555555554,1.3888888888888888
19000,30.894686,247.68421052631578,1.3157894736842104
20000,31.22495,247.8,1.25
21000,33.511852,247.9047619047619,1.1904761904761905
22000,32.465862,248.0,1.1363636363636365
23000,34.117157,247.0,2.1505376344086025
24000,34.613354,247.1237113402062,2.0618556701030926
25000,37.632946,245.43,3.0
26000,43.920937,245.15,4.0
27000,47.060936,244.65,5.0
28000,49.80694,244.13,6.0
29000,48.902943,244.13,6.0
30000,49.080944,244.13,6.0
31000,52.890938,242.61,7.000000000000001
32000,55.629936,242.38,8.0
33000,57.30793,240.94,9.0
34000,57.63393,240.94,9.0
35000,58.339928,240.94,9.0
36000,59.895927,240.94,9.0
37000,60.37993,240.94,9.0
38000,59.92193,240.94,9.0
39000,63.284927,238.11,11.0
40000,66.29692,236.55,12.0
41000,62.612926,238.31,11.0
42000,64.996925,236.55,12.0
43000,65.78292,236.55,12.0
44000,66.33291,236.55,12.0
45000,64.99092,236.55,12.0
46000,66.94891,236.55,12.0
47000,63.11192,237.58,11.0
48000,65.860916,236.31,12.0
49000,60.11094,238.09,11.0
50000,56.582935,238.37,10.0
51000,55.258934,238.87,9.0
52000,54.855938,239.38,9.0
53000,59.732925,237.67,10.0
54000,62.298916,235.91,11.0
55000,60.849926,236.02,11.0
56000,60.074936,236.25,10.0
57000,58.696938,237.69,9.0
58000,58.704926,237.69,9.0
59000,57.480934,237.69,9.0
60000,59.772934,235.39,10.0
61000,59.744938,235.39,10.0
62000,57.08394,236.8,9.0
63000,58.967926,235.84,9.0
64000,59.047935,235.84,9.0
65000,61.852936,235.17,10.0
66000,61.354927,236.53,10.0
67000,63.601933,235.16,11.0
68000,64.68193,235.16,11.0
69000,65.98592,235.16,11.0
70000,66.87792,235.16,11.0
71000,67.029915,235.16,11.0
72000,66.87291,236.43,10.0
73000,68.51691,236.43,10.0
74000,68.96691,236.43,10.0
75000,76.531906,231.2,13.0
76000,78.38092,231.29,14.000000000000002
77000,79.03093,231.63,14.000000000000002
78000,81.435905,230.64,15.0
79000,79.14692,232.05,14.000000000000002
80000,79.61292,232.05,14.000000000000002
81000,80.250916,232.05,14.000000000000002
82000,80.07891,232.05,14.000000000000002
83000,81.388916,232.83,14.000000000000002
84000,80.700905,232.83,14.000000000000002
85000,81.85691,232.83,14.000000000000002
86000,77.45692,234.95,13.0
87000,74.79492,236.77,12.0
88000,75.541916,237.44,11.0
89000,82.97791,232.74,14.000000000000002
90000,80.83091,234.51,12.0
91000,80.45291,234.51,12.0
92000,80.48291,234.51,12.0
93000,79.81692,234.51,12.0
94000,86.06392,231.78,14.000000000000002
95000,85.81392,231.78,14.000000000000002
96000,85.571915,231.78,14.000000000000002
97000,85.07391,231.78,14.000000000000002
98000,81.39792,233.18,13.0
99000,74.67293,235.97,11.0
100000,72.33493,236.23,10.0
101000,66.67594,238.64,8.0
102000,69.65193,238.64,8.0
103000,69.483925,238.64,8.0
104000,69.65594,236.76,9.0
105000,69.31094,235.11,10.0
106000,70.51895,235.11,10.0
107000,68.890945,236.63,9.0
108000,74.75193,235.0,11.0
109000,75.063934,235.0,11.0
110000,77.633934,235.0,11.0
111000,84.005936,232.5,14.000000000000002
112000,80.24392,234.32,13.0
113000,77.15692,236.17,12.0
114000,78.69794,235.22,13.0
115000,77.99994,235.22,13.0
116000,81.62993,232.58,15.0
117000,77.06093,235.31,13.0
