timestep,avg_reward,avg_length,success_rate
1000,72.69998,250.0,0.0
2000,53.249897,250.0,0.0
3000,41.316586,250.0,0.0
4000,54.899853,250.0,0.0
5000,53.17988,250.0,0.0
6000,55.724865,250.0,0.0
7000,56.45701,250.0,0.0
8000,50.656136,250.0,0.0
9000,45.888783,250.0,0.0
10000,49.6549,250.0,0.0
11000,48.099903,250.0,0.0
12000,45.295746,250.0,0.0
13000,47.69222,249.42307692307693,1.9230769230769231
14000,51.957054,249.39285714285714,3.571428571428571
15000,50.05992,249.43333333333334,3.3333333333333335
16000,49.896793,249.46875,3.125
17000,48.920506,249.5,2.941176470588235
18000,48.66103,249.52777777777777,2.7777777777777777
19000,49.163067,249.55263157894737,2.631578947368421
20000,48.66991,249.575,2.5
21000,46.988007,249.5952380952381,2.380952380952381
22000,47.349915,249.61363636363637,2.272727272727273
23000,46.978172,249.6304347826087,2.1739130434782608
24000,44.95616,249.64583333333334,2.083333333333333
25000,44.02591,249.66,2.0
26000,45.253902,249.66,2.0
27000,47.149906,248.64,3.0
28000,50.073902,248.18,4.0
29000,47.73191,248.18,4.0
30000,46.22991,248.18,4.0
31000,44.18992,248.18,4.0
32000,41.145924,248.18,4.0
33000,43.727924,248.18,4.0
34000,44.295914,248.18,4.0
35000,43.32392,248.18,4.0
36000,45.73392,248.18,4.0
37000,46.69591,248.18,4.0
38000,44.211926,248.48,3.0
39000,42.089928,248.52,2.0
40000,43.44592,248.52,2.0
41000,44.30992,248.52,2.0
42000,46.90293,246.91,3.0
43000,48.084923,246.91,3.0
44000,45.170948,246.91,3.0
45000,45.784946,246.91,3.0
46000,47.384937,246.91,3.0
47000,46.35294,246.91,3.0
48000,47.15494,246.91,3.0
49000,50.442936,246.91,3.0
50000,50.386944,246.91,3.0
51000,48.192947,247.93,2.0
52000,51.01294,246.67,2.0
53000,49.07495,246.67,2.0
54000,51.89995,245.1,3.0
55000,54.313942,245.1,3.0
56000,55.999943,245.1,3.0
57000,55.50394,245.1,3.0
58000,56.17995,245.1,3.0
59000,55.717945,245.1,3.0
60000,54.625954,245.1,3.0
61000,52.779945,245.1,3.0
62000,53.509945,245.1,3.0
63000,53.115944,245.1,3.0
64000,52.17595,245.1,3.0
65000,52.025948,245.1,3.0
66000,51.049942,245.1,3.0
67000,49.586937,246.71,2.0
68000,50.10295,246.71,2.0
69000,50.862953,246.71,2.0
70000,49.702938,246.71,2.0
71000,53.984936,246.31,4.0
72000,54.76894,246.31,4.0
73000,55.68694,246.31,4.0
74000,54.360943,246.31,4.0
75000,56.944935,244.73,5.0
76000,55.814938,244.73,5.0
77000,53.44294,246.45,4.0
78000,56.59093,246.29,4.0
79000,58.67892,246.29,4.0
80000,61.03393,245.48,5.0
81000,66.03192,243.16,7.000000000000001
82000,68.47792,241.96,8.0
83000,71.769905,241.96,8.0
84000,71.29592,241.96,8.0
85000,75.73191,240.66,9.0
86000,75.48392,240.66,9.0
87000,79.62791,239.36,10.0
88000,81.381905,239.36,10.0
