timestep,avg_reward,avg_length,success_rate
1000,6.7000265,250.0,0.0
2000,0.050031662,250.0,0.0
3000,7.083363,250.0,0.0
4000,6.6125226,250.0,0.0
5000,14.2400055,250.0,0.0
6000,21.391638,250.0,0.0
7000,32.703518,247.46428571428572,3.571428571428571
8000,29.72182,247.78125,3.125
9000,27.924946,248.02777777777777,2.7777777777777777
10000,26.292456,248.225,2.5
11000,27.98405,248.38636363636363,2.272727272727273
12000,28.868706,248.52083333333334,2.083333333333333
13000,32.386497,246.21153846153845,3.8461538461538463
14000,32.10532,246.48214285714286,3.571428571428571
15000,34.511604,246.71666666666667,3.3333333333333335
16000,35.754623,246.921875,3.125
17000,34.645535,247.10294117647058,2.941176470588235
18000,34.648552,247.26388888888889,2.7777777777777777
19000,33.982838,247.4078947368421,2.631578947368421
20000,33.031204,247.5375,2.5
21000,34.14638,247.6547619047619,2.380952380952381
22000,32.996544,247.76136363636363,2.272727272727273
23000,36.05587,245.89247311827958,3.225806451612903
24000,36.717476,246.06185567010309,3.0927835051546393
25000,37.145947,246.18,3.0
26000,38.13394,246.18,3.0
27000,39.40794,246.18,3.0
28000,42.243935,244.76,4.0
29000,43.041935,244.76,4.0
30000,41.811947,244.76,4.0
31000,43.339947,244.38,5.0
32000,41.80894,245.09,4.0
33000,42.264942,245.09,4.0
34000,40.844944,245.09,4.0
35000,41.90894,245.09,4.0
36000,41.504936,245.09,4.0
37000,42.17494,245.09,4.0
38000,43.245934,246.22,4.0
39000,42.16994,246.22,4.0
40000,41.163956,246.22,4.0
41000,43.90194,246.22,4.0
42000,44.987938,246.22,4.0
43000,44.62593,246.22,4.0
44000,44.42393,246.22,4.0
45000,43.52393,246.22,4.0
46000,45.431923,245.68,5.0
47000,42.24693,247.53,4.0
48000,40.91292,247.53,4.0
49000,43.884922,246.79,5.0
50000,44.630924,246.79,5.0
51000,44.214928,246.79,5.0
52000,43.56292,246.79,5.0
53000,41.804928,248.21,4.0
54000,42.82492,248.21,4.0
55000,46.231915,246.3,5.0
56000,44.42792,246.68,4.0
57000,46.02591,246.68,4.0
58000,47.105907,246.68,4.0
59000,46.703915,246.68,4.0
60000,45.97991,246.68,4.0
61000,46.613907,246.68,4.0
62000,43.65492,246.81,3.0
63000,44.32091,246.81,3.0
64000,48.449913,245.12,4.0
65000,47.71592,245.12,4.0
66000,47.569927,245.12,4.0
67000,46.601925,245.12,4.0
68000,48.349922,245.12,4.0
69000,49.853928,245.12,4.0
70000,49.61192,245.66,3.0
71000,49.325924,245.66,3.0
72000,51.135914,245.66,3.0
73000,50.957924,245.66,3.0
74000,49.04192,246.4,2.0
75000,49.315918,246.4,2.0
76000,48.869926,246.4,2.0
77000,52.597923,245.12,3.0
78000,53.603916,245.12,3.0
79000,55.988922,244.13,4.0
80000,52.72393,246.04,3.0
81000,57.738937,243.07,5.0
82000,61.12993,242.68,6.0
83000,64.729935,241.02,7.000000000000001
84000,68.42493,239.29,8.0
85000,69.86092,239.29,8.0
86000,73.14892,237.73,9.0
87000,76.47394,234.18,11.0
88000,73.84493,235.87,10.0
89000,75.38592,234.36,11.0
90000,78.704926,233.49,12.0
91000,79.408936,233.49,12.0
92000,80.75993,231.74,13.0
93000,83.41294,230.63,14.000000000000002
94000,85.42295,230.63,14.000000000000002
95000,85.59696,230.63,14.000000000000002
96000,85.446945,230.63,14.000000000000002
97000,84.97097,230.63,14.000000000000002
98000,85.36496,230.63,14.000000000000002
99000,84.85097,230.63,14.000000000000002
100000,81.628975,231.91,13.0
101000,79.99298,231.91,13.0
102000,78.179985,231.66,13.0
103000,79.096985,230.53,14.000000000000002
104000,74.345985,233.5,12.0
105000,73.337,232.27,12.0
106000,74.59899,232.27,12.0
107000,71.32699,233.93,11.0
108000,67.34999,235.66,10.0
109000,64.76199,237.22,9.0
110000,64.707985,237.22,9.0
111000,59.993008,240.77,7.000000000000001
112000,58.94501,240.77,7.000000000000001
113000,59.405018,240.49,7.000000000000001
114000,55.96002,241.36,6.0
115000,56.85601,241.36,6.0
116000,56.988018,241.36,6.0
117000,53.676006,244.22,4.0
118000,54.133984,244.22,4.0
119000,52.29799,244.22,4.0
120000,54.786983,242.57,5.0
121000,54.06499,242.57,5.0
122000,53.32899,242.57,5.0
123000,52.842987,242.57,5.0
124000,56.360966,242.57,5.0
125000,62.279972,241.28,6.0
126000,65.86696,240.99,6.0
127000,66.33194,242.12,5.0
128000,70.21695,241.07,6.0
129000,71.337944,240.88,6.0
130000,68.75396,240.88,6.0
131000,68.485954,240.88,6.0
132000,68.38195,240.88,6.0
133000,70.83995,238.86,7.000000000000001
134000,72.080956,236.85,8.0
135000,74.41693,236.85,8.0
136000,75.92494,236.85,8.0
137000,76.399925,237.02,8.0
138000,76.65193,237.02,8.0
